In man-in-box?,Name,Preferred ID for nerve name,Superclass,Origin/Central connection/Parent nerve,Preferred ID for Origin/Central connection/Parent nerve,efferent/afferent for column D ,Anatomical landmarks along nerve (from origin to destination),Preferred ID for landmarks,Destination(s),Preferred ID (of destination),Extra details,Detailed relationship to landmarks,Notes,References
Yes,Right C4 posterior ramus medial branch (Medial branch of posterior ramus of right fourth cervical nerve),FMA:65739,FMA:65617,,,,,,,,,,,
Yes,Left C4 posterior ramus medial branch (Medial branch of posterior ramus of left fourth cervical nerve),FMA:65740,FMA:65617,,,,,,,,,,,
,C5 spinal nerve,"FMA:6446
ILX:0794604",,,,,Dorsal ramus curves around articular pillar of C5 vertebra before dividing,,Lateral arm,,Receives sympathetic fibres from middle cervical ganglion,,Rough dermatomal distribution (can be variable),Last's Anatomy (segmental innervation of the skin)
Yes,Right C5 spinal nerve,ILX:0794605,"FMA:6446
ILX:0794604",,,,,,,,,,,
Yes,Left C5 spinal nerve,ILX:0794606,"FMA:6446
ILX:0794604",,,,,,,,,,,
,C5 gray rami communicantes (Gray communicating ramus of middle cervical ganglion to fifth cervical spinal nerve),FMA:6610,,,,,,,,,,,,
Yes,Right C5 gray rami communicantes (Gray communicating ramus of middle cervical ganglion to right fifth cervical spinal nerve),REQUESTED,FMA:6610,,,,,,,,,,,
Yes,Left C5 gray rami communicantes (Gray communicating ramus of middle cervical ganglion to left fifth cervical spinal nerve),REQUESTED,FMA:6610,,,,,,,,,,,
,C5 spinal nerve posterior ramus (Posterior ramus of fifth cervical nerve),FMA:8793,,,,,,,,,,,,
Yes,Right C5 spinal nerve posterior ramus (Posterior ramus of right fifth cervical nerve),FMA:8794,FMA:8793,,,,,,,,,,,
Yes,Left C5 spinal nerve posterior ramus (Posterior ramus of left fifth cervical nerve),FMA:8795,FMA:8793,,,,,,,,,,,
,C5 spinal nerve posterior ramus medial branch (Medial branch of posterior ramus of fifth cervical nerve),FMA:65619,,,,,,,,,,,,
Yes,Right C5 spinal nerve posterior ramus medial branch (Medial branch of posterior ramus of right fifth cervical nerve),FMA:65743,FMA:65619,,,,,,,,,,,
Yes,Left C5 spinal nerve posterior ramus medial branch (Medial branch of posterior ramus of left fifth cervical nerve),FMA:65744,FMA:65619,,,,,,,,,,,
,C6 spinal nerve,"FMA:6447
ILX:0794607",,,,,Dorsal ramus curves around articular pillar of C6 vertebra before dividing,,Lateral forearm and thumb,,Receives sympathetic fibres from middle cervical ganglion,,Rough dermatomal distribution (can be variable),Last's Anatomy (segmental innervation of the skin)
Yes,Right C6 spinal nerve,ILX:0794608,"FMA:6447
ILX:0794607",,,,,,,,,,,
Yes,Left C6 spinal nerve,ILX:0794609,"FMA:6447
ILX:0794607",,,,,,,,,,,
,C6 gray rami communicantes (Gray communicating ramus of middle cervical ganglion to sixth cervical spinal nerve),FMA:6611,,,,,,,,,,,,
Yes,Right C6 gray rami communicantes (Gray communicating ramus of middle cervical ganglion to right sixth cervical spinal nerve),REQUESTED,FMA:6611,,,,,,,,,,,
Yes,Left C6 gray rami communicantes (Gray communicating ramus of middle cervical ganglion to left sixth cervical spinal nerve),REQUESTED,FMA:6611,,,,,,,,,,,
,C6 spinal nerve posterior ramus (Posterior ramus of sixth cervical nerve),FMA:8796,,,,,,,,,,,,
Yes,Right C6 spinal nerve posterior ramus (Posterior ramus of right sixth cervical nerve),FMA:8797,FMA:8796,,,,,,,,,,,
Yes,Left C6 spinal nerve posterior ramus (Posterior ramus of left sixth cervical nerve),FMA:8798,FMA:8796,,,,,,,,,,,
,C6 spinal nerve posterior ramus medial branch (Medial branch of posterior ramus of sixth cervical nerve),FMA:65621,,,,,,,,,,,,
Yes,Right C6 spinal nerve posterior ramus medial branch (Medial branch of posterior ramus of right sixth cervical nerve),FMA:65747,FMA:65621,,,,,,,,,,,
Yes,Left C6 spinal nerve posterior ramus medial branch (Medial branch of posterior ramus of left sixth cervical nerve),FMA:11262,FMA:65621,,,,,,,,,,,
,C7 spinal nerve,"FMA:6448
ILX:0794610",,,,,Dorsal ramus curves around articular pillar of C7 vertebra before dividing,,Middle fingers,,Receives sympathetic fibres from inferior cervical ganglion,,Rough dermatomal distribution (can be variable),Last's Anatomy (segmental innervation of the skin)
Yes,Right C7 spinal nerve,ILX:0794611,"FMA:6448
ILX:0794610",,,,,,,,,,,
Yes,Left C7 spinal nerve,ILX:0794612,"FMA:6448
ILX:0794610",,,,,,,,,,,
,C7 gray rami communicantes (Gray communicating ramus of cervicothoracic ganglion to seventh cervical spinal nerve),FMA:6612,,,,,,,,,,,,
Yes,Right C7 gray rami communicantes (Gray communicating ramus of cervicothoracic ganglion to right seventh cervical spinal nerve),REQUESTED,FMA:6612,,,,,,,,,,,
Yes,Left C7 gray rami communicantes (Gray communicating ramus of cervicothoracic ganglion to left seventh cervical spinal nerve),REQUESTED,FMA:6612,,,,,,,,,,,
,C8 spinal nerve,"FMA:6449
ILX:0794613",,,,,,,Little finger and distal medial forearm,,Receives sympathetic fibres from inferior cervical ganglion,,Rough dermatomal distribution (can be variable),Last's Anatomy (segmental innervation of the skin)
Yes,Right C8 spinal nerve,ILX:0794614,"FMA:6449
ILX:0794613",,,,,,,,,,,
Yes,Left C8 spinal nerve,ILX:0794615,"FMA:6449
ILX:0794613",,,,,,,,,,,
,C8 gray rami communicantes (Gray communicating ramus of cervicothoracic ganglion to eighth cervical spinal nerve),FMA:6748,,,,,,,,,,,,
Yes,Right C8 gray rami communicantes (Gray communicating ramus of cervicothoracic ganglion to right eighth cervical spinal nerve),REQUESTED,FMA:6748,,,,,,,,,,,
Yes,Left C8 gray rami communicantes (Gray communicating ramus of cervicothoracic ganglion to left eighth cervical spinal nerve),REQUESTED,FMA:6748,,,,,,,,,,,
,Phrenic nerve,UBERON:0001884,,"* (Nucleus of phrenic nerve)
* (C3 spinal nerve)
* (C4 spinal nerve)
* (C5 spinal nerve)","* UBERON:0016850
* FMA:6444
* FMA:6445
* FMA:6446",,"* Descends with (Internal jugular vein)
* Across (Anterior scalene)","* UBERON:0001586
* UBERON:0008622","* (Diaphragm)
* (Pericardial branch of phrenic nerve)
* (Phrenicoabdominal branch of phrenic nerve)
* (Set of phrenico-abdominal branches of phrenic nerve)","* UBERON:0001103
* FMA:6201
* FMA:323339
* FMA:75533",L and R phrenic each have a different course.,"From anterior rami of C3, C4 and C5 spinal nerves, communicating fibres from cervical plexus and cervical sympathetic ganglia. Phrenic nerve forms at upper part of lateral border of scalenus anterior, descends nearly vertically across its anterior surface behind the prevertebral fascia. Descends posterior to sternocleidomastoid, inferior belly of omohyoid (near its intermediate tendon), the internal jugular vein, transverse cervical and suprascapular arteries (and the thoracic duct for the left phrenic). At the root of the neck it runs anterior to the second part of the subclavian artery, separated from it by scelanus anterior, and posterior to the subclavian vein. Crosses medially in front of the internal thoracic artery to enter the thorax.
Within the thorax, the phrenic nerve descends anterior to the pulmonary hilum between the fibrous pericardium and mediastinal pleura.
It sends sensory branches to the mediastinal pleura, fibrous pericardium and parietal serous pericardium. Motor fibres to diaphragm, sensory fibres from central part of diaphragm, surrounding pleura, peritoneum, mediastinal pleura and pericardium.","In the neck the phrenic nerves receive variable filaments from the cervical sympathetic ganglia or their branches and may also connect with internal thoracic sympathetic plexuses.
Fine branches to parietal pleura above diaphragm and parietal peritoneum below diaphragm.","Gray's Anatomy p 464, 973 
Last's Anatomy (revised 9th ed.) p 332
Bettina Pretterklieber et al., When and why was the phrenicoabdominal branch of the left phrenic nerve placed into the esophageal hiatus in German textbooks of anatomy? An anatomical study on 400 specimens reevaluating its course through the diaphragm Annals of Anatomy (2020) vol. 227: 151415
Netter's Atlas of Human Anatomy plate 199"
Yes,Right phrenic nerve,FMA:6192,UBERON:0001884,"* (Right C3 spinal nerve)
* (Right C4 spinal nerve)
* (Right C5 spinal nerve)","* ILX:0794599
* ILX:0794602
* ILX:0794605",,"* (Right internal jugular vein)
* (Right scalenus anterior)
* Crosses anterior to second part of (Right subclavian artery)
* Enters thorax via (Superior thoracic aperture)
* Descends anteriorly along (Right lung hilum)
* Travels along pericardium of (Right atrium)
* Pierces (Right hemidiaphragm) at
* Opening for (Inferior vena cava)","* FMA:4754
* FMA:13392
* FMA:3953
* FMA:7566
* UBERON:0004888
* UBERON:0002078
* FMA:57858
* UBERON:0001072","* (Right hemidiaphragm)
* (Pericardial branch of right phrenic nerve)
* Phrenicoabdominal branch of right phrenic nerve - no code for this","* FMA:57858
* FMA:291236","R phrenic: Shorter and more vertical than left phrenic. Separated at the root of the neck from the second part of the right subclavian artery by scalenus anterior. Descends lateral to right brachiocephalic vein, superior vena cava, fibrous pericardium covering the right surface of the right atrium and inferior vena cava. Divides just superior to or at the level of the diaphragm. Passes through the central tendon of the diaphragm, either by the caval hiatus or just lateral to it. Fine branches to parietal pleura and parietal peritoneum. Usually branches into 3 as it passes through the diaphragm. Anterior (sternal) branch passes anteromedially towards sternum and connects with similar branch from left phrenic. Anterolateral branch runs to lateral leaf of central tendon, and a short posterior branch which divides into a poaterolateral ramus that courses posterior to the lateral leaf and a posterior ramus that supplies the crural fibres.(Gray's p 973)
Passes anteriorly over the lateral part of the R subclavian artery, enters thorax via superior thoracic aperture, descends anteriorly along R lung root, travels along pericardium of R atrium of heart, pierces diaphragm at inferior vena cava opening, innervates inferior surface of diaphragm.",,,
Yes,Left phrenic nerve,FMA:6193,UBERON:0001884,"* (Left C3 spinal nerve)
* (Left C4 spinal nerve)
* (Left C5 spinal nerve)","* ILX:0794600
* ILX:0794603
* ILX:0794606",,"* (Left internal jugular vein)
* (Left scalenus anterior)
* Crosses anteriorly over medial part of (Left subclavian artery)
* Enters thorax via (Superior thoracic aperture)
* Descends anterior to (Left lung hilum)
* Crosses (Aortic arch)
* Passes over pericardium of (Left ventricle)
* Pierces (Left hemidiaphragm)","* FMA:4762
* FMA:13393
* FMA:4694
* UBERON:0004887
* UBERON:0001508
* UBERON:0002084
* FMA:57859","* (Left hemidiaphragm)
* (Pericardial branch of left phrenic nerve)
* Phrenicoabdominal branch of left phrenic nerve - no code for this","* FMA:57859
* FMA:291238","L phrenic: At the root of the neck, the left phrenic commonly leaves the medial edge of scalenus anterior and passes anterior to the first part of the left subclavian artery and posterior to the thoracic duct. (May also copy right phrenic and cross anterior to the second part of the left subclavian artery, from which it is separated by scalenus anterior, at the level of the thoracic inlet). Left phrenic then crosses anterior to the left internal thoracic artery and descends across the medial aspect of the apex of the left lung and its pleura to the first part of the subclavian artery, which it crosses obliquely to reach a groove between the left common carotid and subclavian arteries. It passes anteromedially, superficial to the left vagus nerve just superior to the aortic arch and posterior to the left brachiocephalic vein, then descends superficial to the aortic arch and the left superior intercostal vein, anterior to the left pulmonary hilum, to lie between the fibrous pericardium covering the surface of the left ventricle and the mediastinal pleura. 
Left phrenic passes through the muscular part of the diaphragm anterior to the central tendon, just lateral to the left cardiac surface and more anterior than the right phrenic nerve. Fine branches to parietal pleura and parietal peritoneum.
Usually branches into 3 as it passes through the diaphragm. Anterior (sternal) branch passes anteromedially towards sternum and connects with similar branch from right phrenic. Anterolateral branch runs to lateral leaf of central tendon, and a short posterior branch which divides into a poaterolateral ramus that courses posterior to the lateral leaf and a posterior ramus that supplies the crural fibres.
(Gray's p 973)",,,
,Pericardial branch of phrenic nerve,FMA:6201,,Point on phrenic nerve where pericardial branch of phrenic nerve starts,,,Leaves phrenic nerve on anterior surface of pericardium in upper to middle third of heart,,(Pericardium),UBERON:0002407,,,,
Yes,Pericardial branch of right phrenic nerve,FMA:291236,FMA:6201,Point on right phrenic nerve where pericardial branch of right phrenic nerve starts,,,Leaves right phrenic nerve on anterior surface of pericardium,,(Pericardium),UBERON:0002407,,,,
Yes,Pericardial branch of left phrenic nerve,FMA:291238,FMA:6201,Point on left phrenic nerve where pericardial branch of left phrenic nerve starts,,,Leaves left phrenic nerve on anterior surface of pericardium,,(Pericardium),UBERON:0002407,,,,
,Phrenicoabdominal branch of phrenic nerve,FMA:323339,,Point on phrenic nerve where phrenicoabdominal branch of phrenic nerve starts,,,Leaves phrenic nerve at level of (diaphragm),UBERON:0001103,"* (Diaphragm)
* (Parietal peritoneum)","* UBERON:0001103
* UBERON:0001366",,,,"Pretterklieber et al., When and why was the phrenicoabdominal branch of the left phrenic nerve placed into the esophageal hiatus in German textbooks of anatomy? An anatomical study on 400 specimens reevaluating its course through the diaphragm, Annals of Anatomy vol. 227 January 2020, 151415
Netter's Atlas of Human Anatomy (7th ed.) plate 201"
